text,author
"Success is not final, failure is not fatal: it is the courage to continue that counts.",Winston Churchill
The only way to do great work is to love what you do.,Steve Jobs
Don't watch the clock; do what it does. Keep going.,Sam Levenson
The future belongs to those who believe in the beauty of their dreams.,Eleanor Roosevelt
It is during our darkest moments that we must focus to see the light.,Aristotle
Believe you can and you're halfway there.,Theodore Roosevelt
Start where you are. Use what you have. Do what you can.,Arthur Ashe
What you get by achieving your goals is not as important as what you become by achieving your goals.,Zig Ziglar
Hardships often prepare ordinary people for an extraordinary destiny.,C.S. Lewis
"If you can dream it, you can do it.",Walt Disney
"Quality is not an act, it is a habit.",Aristotle
Dream big and dare to fail.,Norman Vaughan
Act as if what you do makes a difference. It does.,William James
Well done is better than well said.,Benjamin Franklin
Perseverance is not a long race; it is many short races one after the other.,Walter Elliot
In the middle of difficulty lies opportunity.,Albert Einstein
"Do what you can, with what you have, where you are.",Theodore Roosevelt
Don't let yesterday take up too much of today.,Will Rogers
You miss 100% of the shots you don’t take.,Wayne Gretzky
"Whether you think you can or you think you can’t, you’re right.",Henry Ford
It always seems impossible until it's done.,Nelson Mandela
"If opportunity doesn’t knock, build a door.",Milton Berle
Everything you’ve ever wanted is on the other side of fear.,George Addair
The secret of getting ahead is getting started.,Mark Twain
Make each day your masterpiece.,John Wooden
The best way to predict your future is to create it.,Peter Drucker
"If you want to lift yourself up, lift up someone else.",Booker T. Washington
Doubt kills more dreams than failure ever will.,Suzy Kassem
Discipline is the bridge between goals and accomplishment.,Jim Rohn
Success usually comes to those who are too busy to be looking for it.,Henry David Thoreau
"Opportunities don't happen, you create them.",Chris Grosser
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart.,Roy T. Bennett
Setting goals is the first step in turning the invisible into the visible.,Tony Robbins
What lies behind us and what lies before us are tiny matters compared to what lies within us.,Ralph Waldo Emerson
You are never too old to set another goal or to dream a new dream.,C.S. Lewis
"If you want something you’ve never had, you must be willing to do something you’ve never done.",Thomas Jefferson
It does not matter how slowly you go as long as you do not stop.,Confucius
Do one thing every day that scares you.,Eleanor Roosevelt
The man who moves a mountain begins by carrying away small stones.,Confucius
Success is walking from failure to failure with no loss of enthusiasm.,Winston Churchill
Everything you can imagine is real.,Pablo Picasso
"Our greatest glory is not in never falling, but in rising every time we fall.",Confucius
"If you fell down yesterday, stand up today.",H.G. Wells
Don’t wish it were easier; wish you were better.,Jim Rohn
The only limit to our realization of tomorrow is our doubts of today.,Franklin D. Roosevelt
Courage is grace under pressure.,Ernest Hemingway
Keep your face always toward the sunshine—and shadows will fall behind you.,Walt Whitman
"What we think, we become.",Buddha
A year from now you may wish you had started today.,Karen Lamb
The way to get started is to quit talking and begin doing.,Walt Disney
I am not a product of my circumstances. I am a product of my decisions.,Stephen Covey
"The harder I work, the luckier I get.",Gary Player
"Success is the sum of small efforts, repeated day-in and day-out.",Robert Collier
Do not wait to strike till the iron is hot; but make it hot by striking.,William Butler Yeats
The only person you are destined to become is the person you decide to be.,Ralph Waldo Emerson
"Strive not to be a success, but rather to be of value.",Albert Einstein
"I find that the harder I work, the more luck I seem to have.",Thomas Jefferson
"Failure is simply the opportunity to begin again, this time more intelligently.",Henry Ford
Your limitation—it’s only your imagination.,Unknown
"Push yourself, because no one else is going to do it for you.",Unknown
Great things never come from comfort zones.,Unknown
Dream it. Wish it. Do it.,Unknown
Success doesn’t just find you. You have to go out and get it.,Unknown
"The key to success is to focus on goals, not obstacles.",Unknown
"Sometimes we’re tested not to show our weaknesses, but to discover our strengths.",Unknown
The only place where success comes before work is in the dictionary.,Vidal Sassoon
The difference between ordinary and extraordinary is that little extra.,Jimmy Johnson
Don’t stop when you’re tired. Stop when you’re done.,Unknown
